Date;Time;SootA;SootLDSA;SootM;SootN;temperature;humidity;CO2;room_press;occupancy
05.02.2023;00:02; 88,77 ; 20,64 ; 23,34 ; 1,05 ; 23,55 ; 16,02 ; 443,23 ; 1 014,06 ;0,0
05.02.2023;00:07; 87,35 ; 20,31 ; 22,97 ; 1,04 ; 23,54 ; 16,04 ; 443,69 ; 1 013,93 ;0,0
05.02.2023;00:12; 86,47 ; 20,11 ; 22,55 ; 1,03 ; 23,54 ; 16,04 ; 444,03 ; 1 013,88 ;0,0
05.02.2023;00:17; 85,28 ; 19,83 ; 22,19 ; 1,02 ; 23,53 ; 16,05 ; 444,18 ; 1 013,90 ;0,0
05.02.2023;00:22; 81,54 ; 18,96 ; 21,33 ; 0,97 ; 23,53 ; 16,10 ; 443,96 ; 1 014,01 ;0,0
05.02.2023;00:27; 79,07 ; 18,39 ; 20,54 ; 0,94 ; 23,52 ; 16,16 ; 441,86 ; 1 014,16 ;0,0
05.02.2023;00:32; 75,30 ; 17,51 ; 19,50 ; 0,90 ; 23,52 ; 16,19 ; 439,36 ; 1 014,34 ;0,0
05.02.2023;00:37; 72,76 ; 16,92 ; 18,78 ; 0,87 ; 23,52 ; 16,21 ; 443,21 ; 1 014,59 ;0,0
05.02.2023;00:42; 70,01 ; 16,28 ; 18,26 ; 0,83 ; 23,52 ; 16,27 ; 440,06 ; 1 014,64 ;0,0
05.02.2023;00:47; 69,93 ; 16,26 ; 17,96 ; 0,84 ; 23,52 ; 16,36 ; 436,74 ; 1 015,20 ;0,0
05.02.2023;00:52; 69,99 ; 16,28 ; 17,92 ; 0,84 ; 23,52 ; 16,50 ; 438,92 ; 1 015,15 ;0,0
05.02.2023;00:57; 68,27 ; 15,88 ; 17,35 ; 0,83 ; 23,52 ; 16,69 ; 441,43 ; 1 015,08 ;0,0
05.02.2023;01:02; 63,59 ; 14,79 ; 15,97 ; 0,77 ; 23,52 ; 16,89 ; 438,17 ; 1 014,93 ;0,0
05.02.2023;01:07; 58,12 ; 13,52 ; 14,30 ; 0,72 ; 23,52 ; 17,14 ; 438,36 ; 1 014,71 ;0,0
05.02.2023;01:12; 53,33 ; 12,40 ; 12,79 ; 0,66 ; 23,52 ; 17,33 ; 437,65 ; 1 014,63 ;0,0
05.02.2023;01:17; 51,51 ; 11,98 ; 12,25 ; 0,65 ; 23,52 ; 17,48 ; 433,78 ; 1 014,34 ;0,0
05.02.2023;01:22; 49,50 ; 11,51 ; 11,79 ; 0,62 ; 23,52 ; 17,62 ; 434,05 ; 1 014,39 ;0,0
05.02.2023;01:27; 49,03 ; 11,40 ; 11,60 ; 0,62 ; 23,52 ; 17,70 ; 435,54 ; 1 014,65 ;0,0
05.02.2023;01:32; 52,37 ; 12,18 ; 12,65 ; 0,65 ; 23,52 ; 17,70 ; 438,90 ; 1 015,25 ;0,0
05.02.2023;01:37; 53,04 ; 12,34 ; 12,98 ; 0,65 ; 23,52 ; 17,75 ; 436,92 ; 1 015,60 ;0,0
05.02.2023;01:42; 49,93 ; 11,61 ; 12,01 ; 0,62 ; 23,51 ; 17,85 ; 437,40 ; 1 015,53 ;0,0
05.02.2023;01:47; 45,96 ; 10,69 ; 10,82 ; 0,58 ; 23,52 ; 17,97 ; 436,45 ; 1 015,54 ;0,0
05.02.2023;01:52; 42,16 ; 9,81 ; 9,83 ; 0,53 ; 23,51 ; 18,10 ; 434,08 ; 1 015,61 ;0,0
05.02.2023;01:57; 38,52 ; 8,96 ; 8,85 ; 0,49 ; 23,52 ; 18,22 ; 434,40 ; 1 015,68 ;0,0
05.02.2023;02:02; 34,68 ; 8,07 ; 7,92 ; 0,44 ; 23,52 ; 18,34 ; 430,65 ; 1 015,72 ;0,0
05.02.2023;02:07; 30,61 ; 7,12 ; 7,04 ; 0,39 ; 23,52 ; 18,45 ; 430,22 ; 1 015,75 ;0,0
05.02.2023;02:12; 28,05 ; 6,52 ; 6,32 ; 0,36 ; 23,51 ; 18,57 ; 432,71 ; 1 015,82 ;0,0
05.02.2023;02:17; 27,98 ; 6,51 ; 6,15 ; 0,37 ; 23,51 ; 18,63 ; 431,84 ; 1 015,88 ;0,0
05.02.2023;02:22; 27,17 ; 6,32 ; 6,05 ; 0,35 ; 23,51 ; 18,68 ; 431,87 ; 1 015,93 ;0,0
05.02.2023;02:27; 25,37 ; 5,90 ; 5,75 ; 0,33 ; 23,51 ; 18,75 ; 430,41 ; 1 016,02 ;0,0
05.02.2023;02:32; 22,85 ; 5,31 ; 5,07 ; 0,30 ; 23,51 ; 18,77 ; 429,85 ; 1 016,06 ;0,0
05.02.2023;02:37; 20,48 ; 4,76 ; 4,67 ; 0,26 ; 23,51 ; 18,78 ; 431,96 ; 1 016,15 ;0,0
05.02.2023;02:42; 18,62 ; 4,33 ; 4,40 ; 0,23 ; 23,50 ; 18,79 ; 428,88 ; 1 016,19 ;0,0
05.02.2023;02:47; 16,70 ; 3,88 ; 3,92 ; 0,21 ; 23,51 ; 18,81 ; 427,53 ; 1 016,30 ;0,0
05.02.2023;02:52; 14,53 ; 3,38 ; 3,34 ; 0,19 ; 23,50 ; 18,84 ; 425,00 ; 1 016,32 ;0,0
05.02.2023;02:57; 12,20 ; 2,84 ; 2,74 ; 0,16 ; 23,50 ; 18,92 ; 430,82 ; 1 016,38 ;0,0
05.02.2023;03:02; 10,25 ; 2,38 ; 2,26 ; 0,13 ; 23,50 ; 18,99 ; 427,66 ; 1 016,63 ;0,0
05.02.2023;03:07; 9,28 ; 2,16 ; 2,00 ; 0,12 ; 23,50 ; 19,07 ; 426,47 ; 1 016,87 ;0,0
05.02.2023;03:12; 8,00 ; 1,86 ; 1,68 ; 0,11 ; 23,49 ; 19,17 ; 423,79 ; 1 016,86 ;0,0
05.02.2023;03:17; 7,11 ; 1,65 ; 1,51 ; 0,09 ; 23,49 ; 19,29 ; 424,44 ; 1 016,86 ;0,0
05.02.2023;03:22; 6,31 ; 1,47 ; 1,33 ; 0,08 ; 23,49 ; 19,43 ; 426,30 ; 1 016,87 ;0,0
05.02.2023;03:27; 5,65 ; 1,31 ; 1,16 ; 0,08 ; 23,49 ; 19,56 ; 423,46 ; 1 017,03 ;0,0
05.02.2023;03:32; 5,49 ; 1,28 ; 1,19 ; 0,07 ; 23,49 ; 19,67 ; 425,76 ; 1 017,10 ;0,0
05.02.2023;03:37; 5,23 ; 1,22 ; 1,01 ; 0,07 ; 23,48 ; 19,75 ; 426,40 ; 1 017,15 ;0,0
05.02.2023;03:42; 5,18 ; 1,21 ; 0,98 ; 0,07 ; 23,49 ; 19,83 ; 424,49 ; 1 017,22 ;0,0
05.02.2023;03:47; 5,26 ; 1,22 ; 1,06 ; 0,07 ; 23,49 ; 19,90 ; 423,40 ; 1 017,34 ;0,0
05.02.2023;03:52; 5,14 ; 1,20 ; 0,98 ; 0,07 ; 23,48 ; 19,95 ; 425,79 ; 1 017,44 ;0,0
05.02.2023;03:57; 4,82 ; 1,12 ; 0,87 ; 0,07 ; 23,49 ; 20,03 ; 426,77 ; 1 017,55 ;0,0
05.02.2023;04:02; 4,55 ; 1,06 ; 0,94 ; 0,06 ; 23,49 ; 20,10 ; 427,71 ; 1 017,62 ;0,0
05.02.2023;04:07; 4,32 ; 1,01 ; 0,84 ; 0,06 ; 23,50 ; 20,15 ; 424,49 ; 1 017,86 ;0,0
05.02.2023;04:12; 4,11 ; 0,96 ; 0,79 ; 0,06 ; 23,50 ; 20,20 ; 421,70 ; 1 017,99 ;0,0
05.02.2023;04:17; 3,98 ; 0,93 ; 0,74 ; 0,06 ; 23,51 ; 20,24 ; 425,05 ; 1 018,14 ;0,0
05.02.2023;04:22; 3,74 ; 0,87 ; 0,72 ; 0,05 ; 23,51 ; 20,27 ; 422,60 ; 1 018,21 ;0,0
05.02.2023;04:27; 3,51 ; 0,82 ; 0,74 ; 0,05 ; 23,52 ; 20,32 ; 423,61 ; 1 018,26 ;0,0
05.02.2023;04:32; 3,19 ; 0,74 ; 0,58 ; 0,05 ; 23,52 ; 20,36 ; 423,48 ; 1 018,38 ;0,0
05.02.2023;04:37; 2,70 ; 0,63 ; 0,51 ; 0,04 ; 23,53 ; 20,38 ; 426,04 ; 1 018,56 ;0,0
05.02.2023;04:42; 2,69 ; 0,63 ; 0,43 ; 0,04 ; 23,53 ; 20,39 ; 422,62 ; 1 018,57 ;0,0
05.02.2023;04:47; 2,41 ; 0,56 ; 0,40 ; 0,04 ; 23,54 ; 20,40 ; 422,77 ; 1 018,56 ;0,0
05.02.2023;04:52; 2,28 ; 0,53 ; 0,42 ; 0,03 ; 23,54 ; 20,39 ; 424,74 ; 1 018,56 ;0,0
05.02.2023;04:57; 2,22 ; 0,52 ; 0,44 ; 0,03 ; 23,54 ; 20,38 ; 425,46 ; 1 018,52 ;0,0
05.02.2023;05:02; 2,01 ; 0,47 ; 0,33 ; 0,03 ; 23,54 ; 20,37 ; 423,05 ; 1 018,55 ;0,0
05.02.2023;05:07; 2,27 ; 0,53 ; 0,38 ; 0,03 ; 23,54 ; 20,36 ; 423,08 ; 1 018,65 ;0,0
05.02.2023;05:12; 1,93 ; 0,45 ; 0,37 ; 0,03 ; 23,53 ; 20,36 ; 422,00 ; 1 018,70 ;0,0
05.02.2023;05:17; 2,02 ; 0,47 ; 0,28 ; 0,03 ; 23,53 ; 20,37 ; 425,48 ; 1 018,77 ;0,0
05.02.2023;05:22; 2,02 ; 0,47 ; 0,30 ; 0,03 ; 23,52 ; 20,38 ; 426,23 ; 1 018,91 ;0,0
05.02.2023;05:27; 1,99 ; 0,46 ; 0,34 ; 0,03 ; 23,52 ; 20,37 ; 424,37 ; 1 018,97 ;0,0
05.02.2023;05:32; 2,03 ; 0,47 ; 0,29 ; 0,03 ; 23,51 ; 20,33 ; 423,98 ; 1 018,93 ;0,0
05.02.2023;05:37; 1,94 ; 0,45 ; 0,31 ; 0,03 ; 23,51 ; 20,29 ; 423,63 ; 1 018,91 ;0,0
05.02.2023;05:42; 1,83 ; 0,43 ; 0,35 ; 0,03 ; 23,50 ; 20,26 ; 424,04 ; 1 018,87 ;0,0
05.02.2023;05:47; 1,80 ; 0,42 ; 0,34 ; 0,03 ; 23,50 ; 20,25 ; 424,28 ; 1 018,85 ;0,0
05.02.2023;05:52; 1,82 ; 0,42 ; 0,30 ; 0,03 ; 23,50 ; 20,17 ; 423,26 ; 1 018,89 ;0,0
05.02.2023;05:57; 1,87 ; 0,44 ; 0,31 ; 0,03 ; 23,50 ; 20,02 ; 422,64 ; 1 018,89 ;0,0
05.02.2023;06:02; 1,75 ; 0,41 ; 0,26 ; 0,03 ; 23,50 ; 19,87 ; 424,67 ; 1 018,95 ;0,0
05.02.2023;06:07; 1,71 ; 0,40 ; 0,32 ; 0,02 ; 23,50 ; 19,72 ; 423,44 ; 1 018,99 ;0,0
05.02.2023;06:12; 1,70 ; 0,40 ; 0,34 ; 0,02 ; 23,50 ; 19,59 ; 425,05 ; 1 019,05 ;0,0
05.02.2023;06:17; 1,65 ; 0,38 ; 0,61 ; 0,02 ; 23,49 ; 19,49 ; 424,98 ; 1 019,23 ;0,0
05.02.2023;06:22; 1,79 ; 0,42 ; 0,36 ; 0,02 ; 23,49 ; 19,42 ; 422,98 ; 1 019,33 ;0,0
05.02.2023;06:27; 1,77 ; 0,41 ; 0,43 ; 0,02 ; 23,49 ; 19,36 ; 423,70 ; 1 019,33 ;0,0
05.02.2023;06:32; 1,69 ; 0,39 ; 0,39 ; 0,02 ; 23,48 ; 19,23 ; 424,71 ; 1 019,36 ;0,0
05.02.2023;06:37; 1,74 ; 0,41 ; 0,37 ; 0,02 ; 23,47 ; 19,04 ; 424,48 ; 1 019,49 ;0,0
05.02.2023;06:42; 2,24 ; 0,52 ; 0,55 ; 0,03 ; 23,47 ; 18,87 ; 419,58 ; 1 019,61 ;0,0
05.02.2023;06:47; 2,06 ; 0,48 ; 0,50 ; 0,03 ; 23,47 ; 18,75 ; 426,41 ; 1 019,62 ;0,0
05.02.2023;06:52; 2,19 ; 0,51 ; 0,54 ; 0,03 ; 23,47 ; 18,64 ; 423,34 ; 1 019,74 ;0,0
05.02.2023;06:57; 3,26 ; 0,76 ; 0,83 ; 0,04 ; 23,47 ; 18,51 ; 423,76 ; 1 019,79 ;0,0
05.02.2023;07:02; 3,89 ; 0,91 ; 1,11 ; 0,04 ; 23,46 ; 18,42 ; 424,77 ; 1 019,79 ;0,0
05.02.2023;07:07; 3,66 ; 0,85 ; 1,11 ; 0,04 ; 23,46 ; 18,34 ; 423,28 ; 1 019,71 ;0,0
05.02.2023;07:12; 3,27 ; 0,76 ; 0,88 ; 0,04 ; 23,45 ; 18,29 ; 423,33 ; 1 019,73 ;0,0
05.02.2023;07:17; 2,87 ; 0,67 ; 0,82 ; 0,03 ; 23,45 ; 18,25 ; 425,64 ; 1 019,81 ;0,0
05.02.2023;07:22; 2,56 ; 0,60 ; 0,68 ; 0,03 ; 23,44 ; 18,20 ; 425,10 ; 1 019,84 ;0,0
05.02.2023;07:27; 2,33 ; 0,54 ; 0,61 ; 0,03 ; 23,43 ; 18,14 ; 422,56 ; 1 019,91 ;0,0
05.02.2023;07:32; 2,41 ; 0,56 ; 0,81 ; 0,03 ; 23,42 ; 18,04 ; 423,37 ; 1 019,94 ;0,0
05.02.2023;07:37; 2,23 ; 0,52 ; 0,61 ; 0,03 ; 23,42 ; 17,92 ; 421,23 ; 1 019,95 ;0,0
05.02.2023;07:42; 2,43 ; 0,57 ; 0,66 ; 0,03 ; 23,42 ; 17,85 ; 422,38 ; 1 019,87 ;0,0
05.02.2023;07:47; 2,22 ; 0,52 ; 0,55 ; 0,03 ; 23,43 ; 17,81 ; 423,41 ; 1 019,75 ;0,0
05.02.2023;07:52; 2,34 ; 0,54 ; 0,53 ; 0,03 ; 23,43 ; 17,81 ; 423,30 ; 1 019,81 ;0,0
05.02.2023;07:57; 2,39 ; 0,55 ; 0,54 ; 0,03 ; 23,44 ; 17,84 ; 426,25 ; 1 020,00 ;0,0
05.02.2023;08:02; 2,69 ; 0,63 ; 0,58 ; 0,04 ; 23,45 ; 17,89 ; 425,54 ; 1 020,10 ;0,0
05.02.2023;08:07; 2,65 ; 0,62 ; 0,57 ; 0,04 ; 23,46 ; 17,83 ; 425,42 ; 1 020,13 ;0,0
05.02.2023;08:12; 2,83 ; 0,66 ; 0,61 ; 0,04 ; 23,46 ; 17,75 ; 424,37 ; 1 020,26 ;0,0
05.02.2023;08:17; 3,36 ; 0,78 ; 0,84 ; 0,04 ; 23,47 ; 17,74 ; 423,29 ; 1 020,23 ;0,0
05.02.2023;08:22; 3,71 ; 0,86 ; 0,94 ; 0,04 ; 23,48 ; 17,81 ; 426,69 ; 1 020,22 ;0,0
05.02.2023;08:27; 4,15 ; 0,96 ; 1,00 ; 0,05 ; 23,49 ; 17,89 ; 423,91 ; 1 020,31 ;0,0
05.02.2023;08:32; 4,08 ; 0,95 ; 0,99 ; 0,05 ; 23,49 ; 17,95 ; 426,73 ; 1 020,38 ;0,0
05.02.2023;08:37; 3,72 ; 0,86 ; 0,91 ; 0,05 ; 23,48 ; 17,98 ; 425,60 ; 1 020,45 ;0,0
05.02.2023;08:42; 3,54 ; 0,82 ; 0,83 ; 0,04 ; 23,48 ; 18,01 ; 424,95 ; 1 020,63 ;0,0
05.02.2023;08:47; 3,37 ; 0,78 ; 0,75 ; 0,04 ; 23,47 ; 18,14 ; 426,15 ; 1 021,02 ;0,0
05.02.2023;08:52; 3,12 ; 0,73 ; 0,75 ; 0,04 ; 23,47 ; 18,43 ; 424,10 ; 1 020,83 ;0,0
05.02.2023;08:57; 2,76 ; 0,64 ; 0,73 ; 0,03 ; 23,47 ; 18,79 ; 423,27 ; 1 020,96 ;0,0
05.02.2023;09:02; 2,69 ; 0,62 ; 0,64 ; 0,03 ; 23,46 ; 19,03 ; 423,10 ; 1 021,07 ;0,0
05.02.2023;09:07; 3,31 ; 0,77 ; 0,87 ; 0,04 ; 23,46 ; 19,17 ; 423,63 ; 1 021,08 ;0,0
05.02.2023;09:12; 3,79 ; 0,88 ; 1,01 ; 0,04 ; 23,46 ; 19,27 ; 424,70 ; 1 021,36 ;0,0
05.02.2023;09:17; 3,47 ; 0,81 ; 0,82 ; 0,04 ; 23,45 ; 19,35 ; 423,19 ; 1 021,55 ;0,0
05.02.2023;09:22; 2,81 ; 0,65 ; 0,81 ; 0,03 ; 23,46 ; 19,48 ; 425,58 ; 1 021,59 ;0,0
05.02.2023;09:27; 2,44 ; 0,57 ; 0,55 ; 0,03 ; 23,46 ; 19,62 ; 423,24 ; 1 021,48 ;0,0
05.02.2023;09:32; 1,96 ; 0,46 ; 0,56 ; 0,02 ; 23,46 ; 19,68 ; 422,16 ; 1 021,46 ;0,0
05.02.2023;09:37; 1,94 ; 0,45 ; 0,38 ; 0,03 ; 23,46 ; 19,63 ; 422,51 ; 1 021,58 ;0,0
05.02.2023;09:42; 2,05 ; 0,48 ; 0,35 ; 0,03 ; 23,46 ; 19,58 ; 424,21 ; 1 021,58 ;0,0
05.02.2023;09:47; 2,38 ; 0,55 ; 0,45 ; 0,03 ; 23,46 ; 19,57 ; 423,09 ; 1 021,63 ;0,0
05.02.2023;09:52; 2,71 ; 0,63 ; 0,53 ; 0,04 ; 23,46 ; 19,59 ; 422,66 ; 1 021,79 ;0,0
05.02.2023;09:57; 2,76 ; 0,64 ; 0,59 ; 0,04 ; 23,47 ; 19,66 ; 421,19 ; 1 021,89 ;0,0
05.02.2023;10:02; 2,52 ; 0,59 ; 0,53 ; 0,03 ; 23,47 ; 19,74 ; 424,64 ; 1 021,80 ;0,0
05.02.2023;10:07; 2,56 ; 0,60 ; 0,56 ; 0,03 ; 23,47 ; 19,85 ; 425,68 ; 1 021,90 ;0,0
05.02.2023;10:12; 2,60 ; 0,61 ; 0,57 ; 0,03 ; 23,47 ; 19,94 ; 423,53 ; 1 021,88 ;0,0
05.02.2023;10:17; 2,77 ; 0,64 ; 0,57 ; 0,04 ; 23,48 ; 19,99 ; 424,85 ; 1 021,65 ;0,0
05.02.2023;10:22; 2,82 ; 0,66 ; 0,65 ; 0,04 ; 23,48 ; 19,96 ; 421,91 ; 1 021,66 ;0,0
05.02.2023;10:27; 3,73 ; 0,87 ; 0,87 ; 0,05 ; 23,48 ; 19,78 ; 422,56 ; 1 021,62 ;0,0
05.02.2023;10:32; 3,73 ; 0,87 ; 0,89 ; 0,05 ; 23,48 ; 19,63 ; 424,06 ; 1 021,58 ;0,0
05.02.2023;10:37; 3,41 ; 0,79 ; 0,87 ; 0,04 ; 23,49 ; 19,57 ; 423,46 ; 1 021,52 ;0,0
05.02.2023;10:42; 3,32 ; 0,77 ; 1,18 ; 0,03 ; 23,49 ; 19,47 ; 422,96 ; 1 021,57 ;0,0
05.02.2023;10:47; 3,09 ; 0,72 ; 0,67 ; 0,04 ; 23,50 ; 19,38 ; 421,99 ; 1 021,66 ;0,0
05.02.2023;10:52; 3,11 ; 0,72 ; 0,69 ; 0,04 ; 23,50 ; 19,29 ; 425,36 ; 1 021,66 ;0,0
05.02.2023;10:57; 2,88 ; 0,67 ; 0,63 ; 0,04 ; 23,50 ; 19,17 ; 427,65 ; 1 021,76 ;0,0
05.02.2023;11:02; 2,73 ; 0,64 ; 0,57 ; 0,04 ; 23,50 ; 19,08 ; 422,89 ; 1 021,84 ;0,0
05.02.2023;11:07; 2,61 ; 0,61 ; 0,53 ; 0,04 ; 23,51 ; 18,98 ; 423,00 ; 1 021,94 ;0,0
05.02.2023;11:12; 2,69 ; 0,63 ; 0,52 ; 0,04 ; 23,51 ; 18,92 ; 424,74 ; 1 022,01 ;0,0
05.02.2023;11:17; 2,73 ; 0,64 ; 0,56 ; 0,04 ; 23,52 ; 18,86 ; 424,65 ; 1 022,15 ;0,0
05.02.2023;11:22; 2,91 ; 0,68 ; 0,65 ; 0,04 ; 23,52 ; 18,81 ; 425,71 ; 1 022,27 ;0,0
